gene_symbol,PEMN_1,PEMN_2,PEMN_3,PEMN_4,PIMN_1,PIMN_2,PIMN_3,PIMN_4,PIMN_5,PIN_1,PIN_2,PSN,PSVN_1,PSVN_2,Glia_1,Glia_2,Glia_3,Glia_4,Glia_5,Glia_6
ACOT7,6949,5547,8689,10056,10230,9074,13216,11455,8040,7567,8507,11591,12076,11234,427,1847,1217,4434,3614,2970
ACOT8,11799,15243,11953,11882,6665,10050,13729,12317,8192,5112,9924,8479,381,5041,3045,1855,3197,5086,5380,4366
ACOT9,12935,12131,2850,13362,11071,15762,3063,6265,11029,12702,1696,4484,9823,12314,1323,3597,3334,4853,5887,7296
ACOX1,8353,9816,10759,2617,9850,4396,11786,13294,5851,10756,5417,11952,7906,14072,4251,5888,5889,4765,4148,6201
ACOX2,15621,2871,5176,9908,7471,9136,12831,8723,15402,14032,2073,2792,7548,10576,7283,5615,6277,6464,2029,4090
ACOX3,2967,3811,8096,14384,11359,12572,8703,6674,15718,5577,5557,8280,15204,5788,5262,3372,9916,7778,504,573
ACOXL,10639,7185,11941,7745,2526,14237,8829,1210,14131,13259,11926,6103,8562,4622,5162,5703,4728,10194,6046,4898
ACP1,3228,10005,10164,1729,6905,1717,13580,8001,2171,9501,4317,15325,2876,11901,11790,12006,12407,9943,10910,12121
ACP2,6650,7345,12762,3678,5178,697,15098,11706,769,5090,3515,14376,4923,12582,10313,11837,11879,10963,11495,11459
ACP5,4857,1807,9802,1555,15221,9143,7881,2556,580,16235,3516,790,5152,3023,15106,15563,15677,15378,15268,15368
ACP6,1740,4214,2158,1218,1654,14292,3159,5561,7593,15866,5857,4501,16099,5905,15145,14014,12598,8911,4894,9245
ACPL2,12002,4162,10569,5258,13714,6632,5449,14721,7900,7167,12421,13764,8376,7068,1451,4755,3080,3992,5022,3968
ACPP,14844,9456,338,12978,2982,15345,10764,4620,6813,7941,13129,3527,1421,15489,4774,5290,4550,9135,6264,6617
ACPT,12866,15379,2079,15688,1696,13792,1499,942,2988,12096,1454,14098,1531,1577,13362,14470,13178,13526,13084,14580
ACR,10028,484,1276,13696,12113,15859,106,6945,15726,7206,1351,1936,11567,15077,13228,11253,12237,9375,12299,10468
ACRBP,1203,16197,5994,7783,8603,12570,4406,8569,16118,501,1577,2484,13010,1682,11955,12827,13858,14991,13065,11194
ACRC,15832,7357,11288,10850,16021,10671,4016,14590,7875,5103,10647,7108,899,6611,7327,3412,5211,1482,357,138
ACRV1,9155,4188,184,5112,12292,8390,1198,10141,8203,16135,14809,5783,4622,1804,11510,13211,13462,13738,14003,13380
ACSBG1,9354,442,1188,2043,78,14865,1070,131,8968,2517,8013,6256,305,236,16230,15979,15517,16221,14847,15980
ACSBG2,10395,6718,8269,6640,2431,12492,14560,1477,4514,14502,8724,9173,8997,9366,7856,5607,6573,11260,5183,3349
ACSF2,2137,12034,3478,14289,1487,15469,848,1263,13314,1306,8475,6171,7540,15776,13546,12112,12668,9245,10273,7442
ACSF3,15844,3507,2481,1875,15136,9775,2596,14262,7118,12616,8526,14235,6405,5465,6968,9863,7188,6361,2022,2268
ACSL1,5800,10144,2119,5187,12117,7330,10780,10975,9167,13379,10207,5136,15756,15043,596,3310,1784,3353,2417,2086
ACSL3,8905,7459,10076,3176,9912,1578,13373,11345,6303,12818,3796,13605,6169,9020,9625,7864,6750,4517,8915,9158
ACSL4,6005,10393,13152,6649,12722,1445,12072,14383,5570,12346,9604,8518,5430,11397,2207,4111,2461,2467,6751,7686
ACSL5,8138,11704,8704,10599,2671,14503,1003,224,11780,14760,14224,3122,11530,4772,6519,8449,9351,15478,6033,3200
ACSL6,11343,10124,6165,7083,15513,13428,6609,15915,12009,6396,6946,2260,13679,11943,158,6398,3572,3276,218,234
ACSM1,12441,3261,2097,16043,826,15334,6160,2498,9989,95,8131,5155,2791,15414,13864,10550,9790,14537,11958,12662
ACSM2A,11337,6426,11478,15809,1127,14441,5587,3949,11226,13702,7253,1872,13103,628,7104,7926,9881,12413,8959,9216
ACSM2B,7352,2826,4368,8170,8942,9416,1065,3429,3517,1450,16274,1140,7547,3695,14774,15280,15279,15807,14920,14954
ACSM3,7189,9946,5892,3329,5753,14059,8827,4663,11139,13858,8264,10403,10988,10224,5147,2513,1822,7087,4737,5579
ACSM4,685,7747,582,6069,16233,7377,2538,15933,11966,78,12148,8454,15263,13159,9145,7138,5957,11041,6878,8267
ACSM5,4518,807,4948,2337,172,15908,77,30,236,6850,14844,2188,4314,1591,15995,16043,16108,16189,15012,12553
ACSS1,12051,1193,632,2661,13825,9839,5131,15858,4368,2358,238,5,17,4256,16235,15801,16069,16231,14658,15681
ACSS2,4311,11844,11406,6167,12940,9767,9976,12738,12964,11793,14393,3851,11957,4934,1222,1669,1686,4640,2767,1851
ACSS3,1566,334,13365,6434,97,9875,2720,406,3847,5367,16032,726,1130,1569,16054,14953,15978,15634,15357,15664
ACTA2,822,3861,2649,3949,6800,13026,4809,8527,7948,14977,14952,10853,6342,6669,8668,13446,9346,5867,5184,4772
ACTB,1888,6269,11776,2587,5263,3732,15245,12873,2116,6901,7362,13007,8073,12700,7209,10512,8616,6631,8529,9140
ACTG1,2035,6115,10389,2940,5769,1432,15080,13357,2333,7833,3510,13246,8189,13861,6984,11314,8832,7975,11381,11671
ACTG2,9479,4872,5339,6165,406,13360,9406,3647,6098,15113,13662,9213,8788,8010,6548,13945,3849,3844,4984,8763
ACTL10,7558,9475,783,2625,9158,2077,6054,5991,1149,8499,4829,16240,7759,3747,14862,15234,15197,15130,14983,15270
ACTL6A,2068,13647,14765,9548,3867,9596,9357,8121,6078,7662,7318,11085,13601,10678,2622,5503,4939,6782,2160,1830
ACTL6B,10169,12210,7406,11674,11847,12436,8479,12039,7741,1900,9504,9700,13755,14644,155,1406,488,4036,2221,1691
ACTL8,703,2685,13565,3517,3785,15709,8474,7095,2729,12172,1105,11686,1053,1255,13042,15108,14812,15316,14805,13534
ACTN1,13000,13969,3945,12753,15892,11211,9086,15410,12144,7218,5614,1779,14334,11538,92,1452,243,1345,1701,2292
ACTN1-AS1,7449,10121,12210,16039,9614,2925,15214,583,6726,296,12791,3584,963,13622,11711,12386,9404,10709,10882,12639
ACTN2,770,11459,5900,13159,1542,14469,2058,1562,15942,1324,9903,9326,14562,10579,12008,4738,9899,11973,8034,6200
ACTN4,3356,3400,14125,6745,10811,5212,12952,12965,8082,3628,8958,10862,10600,13716,873,5129,1435,1970,10547,9781
ACTR10,7912,12695,11870,13334,8270,8520,11929,10197,8625,7396,6854,9590,13701,9372,1866,1827,1513,2202,2298,1499
ACTR1A,6724,7371,12884,2930,4673,3317,13717,11351,3179,7416,5218,14950,6313,9592,7341,9990,9438,8561,10218,9449
ACTR1B,6062,7966,6340,5051,5107,2223,12324,8911,5265,9762,9872,14442,9283,14093,6072,7231,5617,6180,5442,6559
ACTR2,8369,10330,10563,9605,8957,7760,12053,12306,6921,6651,6739,11816,7546,13400,1319,3328,2358,3660,3715,3943
ACTR3,3571,4089,10643,7521,8182,4458,12256,10376,6995,4901,9309,13794,7991,14158,3090,6103,3650,3011,7870,10759
ACTR3B,4791,11676,7005,3635,4682,10988,12745,13876,14934,7634,5108,9409,13116,8897,3916,997,522,6133,6585,5089
ACTR3C,9154,14647,15895,12657,8566,12494,8432,6805,7343,3102,9751,6678,10394,5879,6993,5100,6353,3060,2602,1507
